"file","start","end"
"src\info\docencia.md","2026-04-18 13:27:05.927","2026-04-18 13:27:05.929"
"src\info\investigacion.md","2026-04-18 13:27:05.937","2026-04-18 13:27:05.937"
"src\info\legal.md","2026-04-18 13:27:05.937","2026-04-18 13:27:05.938"
"src\info\personal.md","2026-04-18 13:27:05.938","2026-04-18 13:27:05.939"
"src\info\proyectos.md","2026-04-18 13:27:05.939","2026-04-18 13:27:05.940"
"src\posts\2021\2021-01-12-hola-mundo.md","2026-04-18 13:27:05.940","2026-04-18 13:27:05.940"
"src\posts\2021\2021-01-18-seguir-aprendiendo.md","2026-04-18 13:27:05.940","2026-04-18 13:27:05.941"
"src\posts\2021\2021-01-26-importancia-proyecto-final.md","2026-04-18 13:27:05.941","2026-04-18 13:27:05.942"
"src\posts\2021\2021-02-01-google-education.md","2026-04-18 13:27:05.942","2026-04-18 13:27:05.943"
"src\posts\2021\2021-02-04-openwebinars.md","2026-04-18 13:27:05.943","2026-04-18 13:27:05.944"
"src\posts\2021\2021-02-10-detalle-de-Kotlin.md","2026-04-18 13:27:05.944","2026-04-18 13:27:05.945"
"src\posts\2021\2021-05-01-estdiar-informatica-cifp-virgen.md","2026-04-18 13:27:05.945","2026-04-18 13:27:05.945"
"src\posts\2021\2021-05-11-github-imprescindible.md","2026-04-18 13:27:05.945","2026-04-18 13:27:05.946"
"src\posts\2021\2021-05-12-mis-lugares-android-kotlin.md","2026-04-18 13:27:05.947","2026-04-18 13:27:05.948"
"src\posts\2021\2021-05-13-innovacion-comunica.md","2026-04-18 13:27:05.948","2026-04-18 13:27:05.949"
"src\posts\2021\2021-05-20-gitkraken-superpoder-git.md","2026-04-18 13:27:05.949","2026-04-18 13:27:05.949"
"src\posts\2021\2021-05-24-skill-informatica.md","2026-04-18 13:27:05.949","2026-04-18 13:27:05.950"
"src\posts\2021\2021-05-26-gitkraken-embajador.md","2026-04-18 13:27:05.950","2026-04-18 13:27:05.950"
"src\posts\2021\2021-06-02-github-advisor.md","2026-04-18 13:27:05.951","2026-04-18 13:27:05.951"
"src\posts\2021\2021-06-16-api-rest-node.md","2026-04-18 13:27:05.951","2026-04-18 13:27:05.952"
"src\posts\2021\2021-07-22-me-gusta-javascript.md","2026-04-18 13:27:05.952","2026-04-18 13:27:05.953"
"src\posts\2021\2021-08-05-testeando-vue.md","2026-04-18 13:27:05.953","2026-04-18 13:27:05.953"
"src\posts\2021\2021-08-06-TDD-javascript-I.md","2026-04-18 13:27:05.954","2026-04-18 13:27:05.954"
"src\posts\2021\2021-08-09-TDD-javascript-II.md","2026-04-18 13:27:05.954","2026-04-18 13:27:05.955"
"src\posts\2021\2021-09-05-nuevas-aventuras.md","2026-04-18 13:27:05.955","2026-04-18 13:27:05.956"
"src\posts\2021\2021-11-11-rendirse-no-es-opcion.md","2026-04-18 13:27:05.956","2026-04-18 13:27:05.956"
"src\posts\2021\2021-11-17-he-vuelto-a-java.md","2026-04-18 13:27:05.957","2026-04-18 13:27:05.957"
"src\posts\2021\2021-11-27-mi-stack.md","2026-04-18 13:27:05.957","2026-04-18 13:27:05.958"
"src\posts\2021\2021-11-28-kotlin-en-mi-equipo.md","2026-04-18 13:27:05.958","2026-04-18 13:27:05.959"
"src\posts\2021\2021-12-08-soy-un-vue-lover.md","2026-04-18 13:27:05.959","2026-04-18 13:27:05.960"
"src\posts\2022\2022-06-25-decepciones-superaciones.md","2026-04-18 13:27:05.960","2026-04-18 13:27:05.961"
"src\posts\2022\2022-06-27-kotlin-expert.md","2026-04-18 13:27:05.961","2026-04-18 13:27:05.962"
"src\posts\2022\2022-07-11-alumnado-verano.md","2026-04-18 13:27:05.962","2026-04-18 13:27:05.963"
"src\posts\2022\2022-11-02-nuevo-curso-nuevos-retos.md","2026-04-18 13:27:05.963","2026-04-18 13:27:05.964"
"src\posts\2022\2022-11-29-me-gusta-corrutinas.md","2026-04-18 13:27:05.964","2026-04-18 13:27:05.965"
"src\posts\2022\2022-11-30-dia-diga-basta.md","2026-04-18 13:27:05.965","2026-04-18 13:27:05.965"
"src\posts\2022\2022-12-06-ya-no-se-programar-sin-reactividad.md","2026-04-18 13:27:05.965","2026-04-18 13:27:05.966"
"src\posts\2022\2022-12-30-al-alumno-que-cpio-en-su-proyecto.md","2026-04-18 13:27:05.966","2026-04-18 13:27:05.967"
"src\posts\2023\2023-01-01-como-puedo-ayudar.md","2026-04-18 13:27:05.967","2026-04-18 13:27:05.967"
"src\posts\2023\2023-05-29-reactive-api-rest-pt-i.md","2026-04-18 13:27:05.968","2026-04-18 13:27:05.968"
"src\posts\2023\2023-06-19-reactive-api-rest-pt-ii.md","2026-04-18 13:27:05.968","2026-04-18 13:27:05.969"
